complaint_id,description,category,priority,date_submitted,resolution_days,status
C0001,Road surface completely destroyed near Pine St,Road,Medium,2026-05-18 23:31:16,,In Progress
C0002,Street lights not working on Main St,Electricity,High,2026-04-04 23:31:16,30,Resolved
C0003,Road surface completely destroyed near Oak Ave,Road,Medium,2026-07-02 23:31:16,13,Resolved
C0004,Blocked storm drain causing flooding at Park Ave,Drainage,Low,2026-07-28 23:31:16,20,Resolved
C0005,Street lights not working on Oak Ave,Electricity,High,2026-07-21 23:31:16,,Open
C0006,Loud noise complaint from construction on Cedar Ln,Other,High,2026-04-13 23:31:16,,In Progress
C0007,Graffiti on public wall at Washington Blvd,Other,Medium,2026-03-28 23:31:16,,In Progress
C0008,Broken fence near the park on Park Ave,Safety,Medium,2026-06-15 23:31:16,,Open
C0009,Terrible smell from open drain near Pine St,Drainage,Medium,2026-03-13 23:31:16,19,Resolved
C0010,Stray dogs aggressive near Maple Dr,Other,Medium,2026-05-24 23:31:16,,In Progress
C0011,Road surface completely destroyed near Elm St,Road,Medium,2026-04-22 23:31:16,20,Resolved
C0012,Traffic light broken at Maple Dr intersection,Road,Low,2026-07-23 23:31:16,26,Resolved
C0013,Huge pothole on Pine St causing traffic,Road,Medium,2026-02-14 23:31:16,3,Resolved
C0014,Huge pothole on Washington Blvd causing traffic,Road,High,2026-07-28 23:31:16,25,Resolved
C0015,"Pipe burst near Elm St, water flooding the sidewalk",Water,High,2026-02-11 23:31:16,27,Resolved
C0016,Traffic light broken at Park Ave intersection,Road,Low,2026-02-16 23:31:16,30,Resolved
C0017,Street lights not working on Park Ave,Electricity,Medium,2026-06-17 23:31:16,,Open
C0018,Stray dogs aggressive near Washington Blvd,Other,Medium,2026-04-10 23:31:16,,Assigned
C0019,Loud noise complaint from construction on Park Ave,Other,Medium,2026-04-28 23:31:16,29,Resolved
C0020,Broken fence near the park on Oak Ave,Safety,Medium,2026-02-15 23:31:16,,Open
C0021,Huge pothole on Park Ave causing traffic,Road,High,2026-03-27 23:31:16,,Assigned
C0022,Dirty brown water coming from taps at Washington Blvd,Water,High,2026-07-16 23:31:16,17,Resolved
C0023,No water supply in the building on Main St,Water,High,2026-05-21 23:31:16,,Open
C0024,"Pipe burst near Elm St, water flooding the sidewalk",Water,High,2026-05-31 23:31:16,,Assigned
C0025,Terrible smell from open drain near Park Ave,Drainage,Low,2026-03-09 23:31:16,,In Progress
C0026,Huge pothole on Main St causing traffic,Road,Low,2026-03-11 23:31:16,27,Resolved
C0027,Sewage backing up into street on Maple Dr,Drainage,Low,2026-03-21 23:31:16,14,Resolved
C0028,Foul smell from uncollected trash at Washington Blvd,Waste,Low,2026-06-08 23:31:16,15,Resolved
C0029,Complete blackout in the neighborhood around Washington Blvd,Electricity,Critical,2026-04-01 23:31:16,5,Resolved
