complaint_id,description,category,priority,date_submitted,resolution_days,status
C0001,Illegal dumping of construction waste near Park Ave,Waste,Medium,2026-07-25 09:29:11,,In Progress
C0002,Road surface completely destroyed near Washington Blvd,Road,Low,2026-04-26 09:29:11,19,Resolved
C0003,Street lights not working on Cedar Ln,Electricity,High,2026-05-06 09:29:11,5,Resolved
C0004,No water supply in the building on Cedar Ln,Water,Medium,2026-05-29 09:29:11,20,Resolved
C0005,Complete blackout in the neighborhood around Main St,Electricity,High,2026-07-22 09:29:11,28,Resolved
C0006,No water supply in the building on Maple Dr,Water,High,2026-07-23 09:29:11,10,Resolved
C0007,"Pipe burst near Cedar Ln, water flooding the sidewalk",Water,High,2026-07-09 09:29:11,11,Resolved
C0008,Blocked storm drain causing flooding at Main St,Drainage,Medium,2026-02-21 09:29:11,,In Progress
C0009,"Pipe burst near Oak Ave, water flooding the sidewalk",Water,High,2026-04-12 09:29:11,,Assigned
C0010,Street lights not working on Maple Dr,Electricity,Critical,2026-07-08 09:29:11,1,Resolved
C0011,Huge pothole on Pine St causing traffic,Road,Low,2026-05-30 09:29:11,29,Resolved
C0012,Terrible smell from open drain near Oak Ave,Drainage,Low,2026-04-01 09:29:11,,In Progress
C0013,Terrible smell from open drain near Elm St,Drainage,Critical,2026-02-28 09:29:11,,Assigned
C0014,Road surface completely destroyed near Washington Blvd,Road,Medium,2026-05-11 09:29:11,17,Resolved
C0015,Dangerous leaning tree over walkway on Elm St,Safety,Low,2026-06-26 09:29:11,,In Progress
C0016,Road surface completely destroyed near Park Ave,Road,Medium,2026-02-20 09:29:11,5,Resolved
C0017,Sparking power lines near Pine St,Electricity,High,2026-05-16 09:29:11,6,Resolved
C0018,Sparking power lines near Pine St,Electricity,Critical,2026-07-05 09:29:11,,In Progress
C0019,Blocked storm drain causing flooding at Maple Dr,Drainage,Low,2026-03-25 09:29:11,24,Resolved
C0020,Street lights not working on Cedar Ln,Electricity,Critical,2026-03-23 09:29:11,1,Resolved
C0021,Garbage bins overflowing for days on Washington Blvd,Waste,Medium,2026-06-13 09:29:11,,Assigned
C0022,Dirty brown water coming from taps at Maple Dr,Water,Critical,2026-04-22 09:29:11,,Assigned
C0023,Street lights not working on Oak Ave,Electricity,High,2026-06-08 09:29:11,10,Resolved
C0024,Dirty brown water coming from taps at Elm St,Water,Medium,2026-06-13 09:29:11,21,Resolved
C0025,Sewage backing up into street on Elm St,Drainage,Critical,2026-04-11 09:29:11,,Assigned
C0026,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,Critical,2026-07-23 09:29:11,3,Resolved
C0027,Traffic light broken at Main St intersection,Road,Medium,2026-07-16 09:29:11,,Open
C0028,Garbage bins overflowing for days on Pine St,Waste,Medium,2026-05-13 09:29:11,,Assigned
C0029,No water supply in the building on Main St,Water,High,2026-02-12 09:29:11,,Assigned
C0030,Dirty brown water coming from taps at Main St,Water,High,2026-06-06 09:29:11,,In Progress
C0031,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,Medium,2026-04-03 09:29:11,,In Progress
C0032,Terrible smell from open drain near Main St,Drainage,Medium,2026-03-30 09:29:11,,Open
C0033,No water supply in the building on Maple Dr,Water,High,2026-03-13 09:29:11,18,Resolved
C0034,Huge pothole on Main St causing traffic,Road,Medium,2026-04-15 09:29:11,,Open
C0035,Terrible smell from open drain near Main St,Drainage,Low,2026-04-29 09:29:11,,Assigned
C0036,"Pipe burst near Maple Dr, water flooding the sidewalk",Water,Critical,2026-07-06 09:29:11,3,Resolved
C0037,Sewage backing up into street on Elm St,Drainage,Critical,2026-03-08 09:29:11,3,Resolved
C0038,Illegal dumping of construction waste near Pine St,Waste,Low,2026-03-04 09:29:11,11,Resolved
C0039,Garbage bins overflowing for days on Cedar Ln,Waste,Low,2026-06-16 09:29:11,,In Progress
C0040,Traffic light broken at Pine St intersection,Road,Low,2026-07-12 09:29:11,16,Resolved
C0041,Road surface completely destroyed near Main St,Road,Low,2026-05-23 09:29:11,18,Resolved
C0042,Garbage bins overflowing for days on Park Ave,Waste,High,2026-05-10 09:29:11,,Assigned
C0043,Terrible smell from open drain near Park Ave,Drainage,Low,2026-02-16 09:29:11,3,Resolved
C0044,Blocked storm drain causing flooding at Cedar Ln,Drainage,Medium,2026-04-09 09:29:11,,In Progress
C0045,No pedestrian crossing visible at Oak Ave,Safety,Low,2026-04-14 09:29:11,6,Resolved
C0046,Huge pothole on Washington Blvd causing traffic,Road,Low,2026-04-19 09:29:11,,In Progress
C0047,Huge pothole on Pine St causing traffic,Road,Low,2026-06-15 09:29:11,,In Progress
C0048,Garbage bins overflowing for days on Park Ave,Waste,Medium,2026-02-13 09:29:11,,Open
C0049,Illegal dumping of construction waste near Elm St,Waste,Critical,2026-04-12 09:29:11,,Open
C0050,No pedestrian crossing visible at Cedar Ln,Safety,Medium,2026-03-05 09:29:11,23,Resolved
C0051,Foul smell from uncollected trash at Cedar Ln,Waste,Low,2026-04-27 09:29:11,,Assigned
C0052,Illegal dumping of construction waste near Cedar Ln,Waste,Medium,2026-03-30 09:29:11,,In Progress
C0053,"Pipe burst near Oak Ave, water flooding the sidewalk",Water,High,2026-05-07 09:29:11,6,Resolved
C0054,Dirty brown water coming from taps at Park Ave,Water,High,2026-03-29 09:29:11,3,Resolved
C0055,Illegal dumping of construction waste near Washington Blvd,Waste,Low,2026-04-08 09:29:11,27,Resolved
C0056,Sparking power lines near Pine St,Electricity,High,2026-03-05 09:29:11,,Open
C0057,Complete blackout in the neighborhood around Park Ave,Electricity,Critical,2026-06-28 09:29:11,3,Resolved
C0058,Garbage bins overflowing for days on Cedar Ln,Waste,Medium,2026-06-05 09:29:11,,Assigned
C0059,Garbage bins overflowing for days on Maple Dr,Waste,Medium,2026-05-01 09:29:11,14,Resolved
C0060,Foul smell from uncollected trash at Maple Dr,Waste,Low,2026-04-30 09:29:11,22,Resolved
C0061,Blocked storm drain causing flooding at Cedar Ln,Drainage,Low,2026-05-01 09:29:11,,Assigned
C0062,Sparking power lines near Main St,Electricity,Critical,2026-05-06 09:29:11,2,Resolved
C0063,Sparking power lines near Pine St,Electricity,High,2026-06-18 09:29:11,13,Resolved
C0064,Illegal dumping of construction waste near Washington Blvd,Waste,Medium,2026-06-06 09:29:11,18,Resolved
C0065,"Pipe burst near Oak Ave, water flooding the sidewalk",Water,Medium,2026-04-21 09:29:11,6,Resolved
C0066,Road surface completely destroyed near Oak Ave,Road,Low,2026-07-27 09:29:11,4,Resolved
C0067,Broken fence near the park on Oak Ave,Safety,Critical,2026-05-16 09:29:11,,Assigned
C0068,Terrible smell from open drain near Park Ave,Drainage,Medium,2026-03-19 09:29:11,26,Resolved
C0069,Illegal dumping of construction waste near Oak Ave,Waste,Low,2026-03-09 09:29:11,,In Progress
C0070,Dirty brown water coming from taps at Main St,Water,Critical,2026-02-12 09:29:11,,In Progress
C0071,Garbage bins overflowing for days on Oak Ave,Waste,High,2026-05-28 09:29:11,15,Resolved
C0072,"Pipe burst near Washington Blvd, water flooding the sidewalk",Water,High,2026-07-19 09:29:11,11,Resolved
C0073,Foul smell from uncollected trash at Cedar Ln,Waste,Critical,2026-06-07 09:29:11,,Open
C0074,Garbage bins overflowing for days on Main St,Waste,Low,2026-03-21 09:29:11,10,Resolved
C0075,Street lights not working on Washington Blvd,Electricity,Critical,2026-05-17 09:29:11,,Open
C0076,"Pipe burst near Pine St, water flooding the sidewalk",Water,High,2026-03-27 09:29:11,13,Resolved
C0077,Garbage bins overflowing for days on Pine St,Waste,Medium,2026-05-26 09:29:11,,Assigned
C0078,No water supply in the building on Washington Blvd,Water,Critical,2026-07-29 09:29:11,1,Resolved
C0079,Terrible smell from open drain near Main St,Drainage,Medium,2026-05-14 09:29:11,,In Progress
C0080,Foul smell from uncollected trash at Maple Dr,Waste,Low,2026-07-17 09:29:11,,Assigned
C0081,Sewage backing up into street on Oak Ave,Drainage,High,2026-03-31 09:29:11,5,Resolved
C0082,Dirty brown water coming from taps at Maple Dr,Water,Low,2026-07-18 09:29:11,7,Resolved
C0083,Road surface completely destroyed near Elm St,Road,High,2026-07-09 09:29:11,3,Resolved
C0084,No water supply in the building on Park Ave,Water,Critical,2026-07-23 09:29:11,5,Resolved
C0085,Foul smell from uncollected trash at Main St,Waste,Medium,2026-05-04 09:29:11,18,Resolved
C0086,Blocked storm drain causing flooding at Elm St,Drainage,Low,2026-02-19 09:29:11,,Assigned
C0087,Huge pothole on Cedar Ln causing traffic,Road,Medium,2026-05-26 09:29:11,7,Resolved
C0088,No water supply in the building on Oak Ave,Water,Critical,2026-05-15 09:29:11,,In Progress
C0089,Illegal dumping of construction waste near Maple Dr,Waste,Low,2026-04-11 09:29:11,21,Resolved
C0090,Huge pothole on Maple Dr causing traffic,Road,Medium,2026-04-23 09:29:11,,In Progress
C0091,Huge pothole on Elm St causing traffic,Road,Medium,2026-05-06 09:29:11,26,Resolved
C0092,Traffic light broken at Washington Blvd intersection,Road,Low,2026-04-20 09:29:11,,Assigned
C0093,Complete blackout in the neighborhood around Elm St,Electricity,High,2026-03-14 09:29:11,25,Resolved
C0094,Sparking power lines near Elm St,Electricity,High,2026-02-18 09:29:11,3,Resolved
C0095,Huge pothole on Pine St causing traffic,Road,Medium,2026-03-29 09:29:11,,Open
C0096,Traffic light broken at Park Ave intersection,Road,High,2026-05-25 09:29:11,3,Resolved
C0097,Complete blackout in the neighborhood around Main St,Electricity,Low,2026-03-08 09:29:11,29,Resolved
C0098,Garbage bins overflowing for days on Oak Ave,Waste,Low,2026-06-15 09:29:11,18,Resolved
C0099,Foul smell from uncollected trash at Main St,Waste,Critical,2026-03-02 09:29:11,4,Resolved
C0100,Huge pothole on Park Ave causing traffic,Road,High,2026-04-20 09:29:11,,In Progress
C0101,Traffic light broken at Cedar Ln intersection,Road,High,2026-05-02 09:29:11,27,Resolved
C0102,"Pipe burst near Cedar Ln, water flooding the sidewalk",Water,Critical,2026-06-08 09:29:11,2,Resolved
C0103,Illegal dumping of construction waste near Maple Dr,Waste,Medium,2026-06-16 09:29:11,10,Resolved
C0104,Street lights not working on Maple Dr,Electricity,Critical,2026-07-08 09:29:11,,In Progress
C0105,Illegal dumping of construction waste near Pine St,Waste,Low,2026-03-28 09:29:11,,In Progress
C0106,Huge pothole on Cedar Ln causing traffic,Road,Low,2026-03-23 09:29:11,20,Resolved
C0107,"Pipe burst near Washington Blvd, water flooding the sidewalk",Water,Medium,2026-03-14 09:29:11,,Open
C0108,Graffiti on public wall at Cedar Ln,Other,Low,2026-06-11 09:29:11,,In Progress
C0109,Huge pothole on Washington Blvd causing traffic,Road,High,2026-02-18 09:29:11,3,Resolved
C0110,Sparking power lines near Oak Ave,Electricity,Low,2026-02-25 09:29:11,,In Progress
C0111,Traffic light broken at Cedar Ln intersection,Road,Low,2026-03-06 09:29:11,4,Resolved
C0112,Blocked storm drain causing flooding at Pine St,Drainage,Low,2026-05-02 09:29:11,,Open
C0113,Illegal dumping of construction waste near Elm St,Waste,Medium,2026-03-12 09:29:11,27,Resolved
C0114,Illegal dumping of construction waste near Cedar Ln,Waste,Low,2026-05-23 09:29:11,,In Progress
C0115,Road surface completely destroyed near Elm St,Road,Low,2026-02-20 09:29:11,6,Resolved
C0116,No water supply in the building on Cedar Ln,Water,High,2026-04-13 09:29:11,14,Resolved
C0117,Huge pothole on Pine St causing traffic,Road,Low,2026-03-20 09:29:11,8,Resolved
C0118,Sewage backing up into street on Main St,Drainage,Medium,2026-02-17 09:29:11,9,Resolved
C0119,Sparking power lines near Washington Blvd,Electricity,Critical,2026-07-29 09:29:11,3,Resolved
C0120,Traffic light broken at Oak Ave intersection,Road,Medium,2026-04-07 09:29:11,,In Progress
C0121,Sparking power lines near Oak Ave,Electricity,Low,2026-03-25 09:29:11,,Open
C0122,Illegal dumping of construction waste near Cedar Ln,Waste,Low,2026-04-19 09:29:11,28,Resolved
C0123,Street lights not working on Park Ave,Electricity,High,2026-08-07 09:29:11,16,Resolved
C0124,Sparking power lines near Maple Dr,Electricity,High,2026-05-19 09:29:11,,Open
C0125,Blocked storm drain causing flooding at Oak Ave,Drainage,Low,2026-05-23 09:29:11,25,Resolved
C0126,Road surface completely destroyed near Washington Blvd,Road,Medium,2026-06-01 09:29:11,24,Resolved
C0127,Complete blackout in the neighborhood around Park Ave,Electricity,Critical,2026-07-14 09:29:11,,In Progress
C0128,Huge pothole on Washington Blvd causing traffic,Road,Medium,2026-06-08 09:29:11,,Assigned
C0129,Stray dogs aggressive near Oak Ave,Other,Critical,2026-05-10 09:29:11,,In Progress
C0130,Street lights not working on Main St,Electricity,Medium,2026-04-15 09:29:11,,Open
C0131,Dirty brown water coming from taps at Cedar Ln,Water,Critical,2026-05-06 09:29:11,2,Resolved
C0132,Complete blackout in the neighborhood around Maple Dr,Electricity,Low,2026-07-14 09:29:11,19,Resolved
C0133,No water supply in the building on Maple Dr,Water,High,2026-04-06 09:29:11,26,Resolved
C0134,Illegal dumping of construction waste near Elm St,Waste,Medium,2026-07-07 09:29:11,29,Resolved
C0135,Illegal dumping of construction waste near Cedar Ln,Waste,Low,2026-07-23 09:29:11,22,Resolved
C0136,Foul smell from uncollected trash at Washington Blvd,Waste,Low,2026-04-09 09:29:11,,In Progress
C0137,Sparking power lines near Pine St,Electricity,Critical,2026-08-08 09:29:11,4,Resolved
C0138,Sparking power lines near Park Ave,Electricity,High,2026-02-13 09:29:11,,In Progress
C0139,Foul smell from uncollected trash at Cedar Ln,Waste,Low,2026-03-10 09:29:11,7,Resolved
C0140,Dirty brown water coming from taps at Washington Blvd,Water,Critical,2026-04-20 09:29:11,,In Progress
C0141,Traffic light broken at Maple Dr intersection,Road,Low,2026-06-09 09:29:11,27,Resolved
C0142,Huge pothole on Main St causing traffic,Road,Low,2026-04-20 09:29:11,16,Resolved
C0143,Foul smell from uncollected trash at Maple Dr,Waste,Low,2026-07-27 09:29:11,9,Resolved
C0144,Illegal dumping of construction waste near Park Ave,Waste,Low,2026-05-21 09:29:11,18,Resolved
C0145,Huge pothole on Cedar Ln causing traffic,Road,Medium,2026-07-02 09:29:11,27,Resolved
C0146,Foul smell from uncollected trash at Oak Ave,Waste,Low,2026-06-05 09:29:11,,Open
C0147,Foul smell from uncollected trash at Elm St,Waste,Medium,2026-03-31 09:29:11,22,Resolved
C0148,Broken fence near the park on Washington Blvd,Safety,Medium,2026-04-22 09:29:11,6,Resolved
C0149,Terrible smell from open drain near Pine St,Drainage,Low,2026-03-29 09:29:11,9,Resolved
C0150,Foul smell from uncollected trash at Maple Dr,Waste,Medium,2026-02-25 09:29:11,10,Resolved
C0151,Complete blackout in the neighborhood around Main St,Electricity,High,2026-05-23 09:29:11,,In Progress
C0152,Sparking power lines near Oak Ave,Electricity,Low,2026-02-22 09:29:11,26,Resolved
C0153,Broken fence near the park on Cedar Ln,Safety,Low,2026-05-31 09:29:11,12,Resolved
C0154,Foul smell from uncollected trash at Cedar Ln,Waste,Low,2026-04-05 09:29:11,23,Resolved
C0155,Terrible smell from open drain near Park Ave,Drainage,Medium,2026-04-10 09:29:11,,Assigned
C0156,Traffic light broken at Oak Ave intersection,Road,High,2026-07-01 09:29:11,30,Resolved
C0157,Dirty brown water coming from taps at Elm St,Water,Medium,2026-02-12 09:29:11,9,Resolved
